,Time,Tweet,User,Location,Retweets,Likes
88,2022-11-06 23:30:08+00:00,Elon Musk Haters Are Not Just Heading To Jack Dorsey'S Bluesky — Here Are 5 Alternatives To Twitter https://t.co/iG1LAJ16NR,Juno_naturasola,Japon ,0,0
89,2022-11-06 23:30:07+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",LuxMagore,"London, England",2251,0
90,2022-11-06 23:30:00+00:00,".@jack Dorsey has claimed responsibility for mass layoffs at Twitter in the aftermath of Elon Musk’s takeover

https://t.co/MTRv5m5wUH https://t.co/VD2E4a5lUI",RT_com,,32,118
91,2022-11-06 23:29:53+00:00,we had more free speech in jack dorsey twitter than we do in elon’s 💀💀💀,AyoDeepa,Hot Singles In Your Area!,0,3
92,2022-11-06 23:29:35+00:00,One more #payments company turns to cost-cutting:  https://t.co/sx0ocvlzWl via @PaymentsDive and @Caitlin_Mullen,PaymentsDive,,1,0
93,2022-11-06 23:28:49+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",fupakween,,2251,0
94,2022-11-06 23:28:43+00:00,RT @Independent: Former Twitter CEO Jack Dorsey apologies to employees laid off by Elon Musk https://t.co/sKKruv0oan,Tobechu59292139,"Lagos, Nigeria",7,0
95,2022-11-06 23:28:21+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",JustAnt84,DC ,2251,0
96,2022-11-06 23:28:04+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",prepney,"Texas, USA",2251,0
97,2022-11-06 23:28:02+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",foolishmagnet,DMV,2251,0
98,2022-11-06 23:27:39+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",_xo_Brea,Naked in the forest,2251,0
99,2022-11-06 23:27:24+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",nerdianadia,"Miami, FL",2251,0
0,2022-11-06 23:59:54+00:00,"Yes Pls. Sa Wakas!  Jack Dorsey was lenient about this at some point bec of the LGBTQ association. But this doesn’t mean its right, coz theres a different platform for those and NOT this one https://t.co/1dMkswq6nP",ManilaTechNerd,Worldwide,0,0
1,2022-11-06 23:59:52+00:00,"RT @yourlittldogtwo: @jack Protecting that investment?
https://t.co/76AheRYFN5 https://t.co/f7dt9ECBrG",Trumpgot2go,,147,0
2,2022-11-06 23:58:28+00:00,RT @jessehawken: Did anyone succeed at driving Jack Dorsey so insane that he started live-tweeting policy changes,G_Flowers47,The American West | OAK,1,0
3,2022-11-06 23:58:22+00:00,"RT @LeighNYC_Laura: To Jack Dorsey, a little too late with your fake apology to @Twitter staff being given the gallows before the holidays,…",LeighNYC_Laura,"New York City, NY",1,0
4,2022-11-06 23:58:16+00:00,"To Jack Dorsey, a little too late with your fake apology to @Twitter staff being given the gallows before the holidays, by the ever-compensating man child Right-leaning Elon Musk. You made your money &amp; you know it. GTFOH. https://t.co/2ZLVEFbb2y",LeighNYC_Laura,"New York City, NY",1,2
5,2022-11-06 23:58:12+00:00,@JoeBiden I hear Jack Dorsey has a new platform - blue bird?,SunshineLady_57,"California, USA",0,0
6,2022-11-06 23:58:09+00:00,"@bethanydoolin @spctrsofcolaps @mostlycherrypie @kraster @DennisRomback @nonilex @jack I'm just going to put this here so people can wrap their feeling around facts. 
https://t.co/zmyV0GSRRr",Wizzard4hire,,0,0
7,2022-11-06 23:57:49+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",jamaicanceltic,"Charlotte, NC",2251,0
8,2022-11-06 23:57:06+00:00,Did anyone succeed at driving Jack Dorsey so insane that he started live-tweeting policy changes,jessehawken,Toronto,1,32
9,2022-11-06 23:57:03+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",Live4rmMars,,2251,0
10,2022-11-06 23:57:00+00:00,elon keeps knocking at my door demanding i give him $8  to leave my driveway. jack dorsey please save me,BirdUntruster,papa's vibe lounge,0,4
11,2022-11-06 23:56:50+00:00,@Mollyploofkins I read somewhere last week that Jack Dorsey is about ready to beta test a new social platform similar to Twitter.  It's called Bluesky Social and it already has a wait list started to join.  I have not heard of Mastodon.,MillikanJulie4,,0,1
12,2022-11-06 23:56:26+00:00,"@zetetic6 @stoddglenn @_Natey_P @hodgetwins @elonmusk @kathygriffin Please don’t use the guardian as a source.. please.

Jack Dorsey admitted that Twitter had a massive left wing bias, the heads of Twitter also openly admitted bias.

Let’s agree that a platform that treats both equally is good. White House being fact checked was glorious",morganl_uk,UK,0,0
13,2022-11-06 23:56:11+00:00,CNBC - Twitter co-founder Dorsey apologizes for growing the company 'too quickly' @CNBC https://t.co/QqDxaBhQC5,PhilDeCarolis,"Southern California, U.S.",0,0
14,2022-11-06 23:55:59+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",tomiwaslibrary,she/her//bi,2251,0
15,2022-11-06 23:55:09+00:00,Twitter founder Jack Dorsey apologizes after Elon Musk lays off staff - https://t.co/xhgwgpAtCP,MetroCOLA,West Georgia - East Alabama,0,0
16,2022-11-06 23:54:53+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",XalimaJ,Dakar,2251,0
17,2022-11-06 23:54:41+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",McClainNylah,"Maryland, USA",2251,0
18,2022-11-06 23:54:35+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",fuegoprego,,2251,0
19,2022-11-06 23:54:20+00:00,"@perlmutations So, angry Ron Perlman, where were you P.E.? (Prior to Elon) when everyone had to think the same way as that Commie-hobo Jack Dorsey?
LOL, The pendulum swings.",MizzPROmerica,California,0,0
20,2022-11-06 23:54:11+00:00,"@MarkRuffalo you do know jack Dorsey said it was His fault for growing the company to fast 

you really do not do you homework

ALSO $8.00",311johnny,some where in New York State,0,5
21,2022-11-06 23:53:53+00:00,Twitter co-founder Jack Dorsey apologizes after Elon Musk's team begins mass layoffs days after $44 billion takeover https://t.co/jXJGN50eAm via @nbcnews,ChuaBeny1,"Queen, New York",0,0
22,2022-11-06 23:52:53+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",Poetic_Refuge,Narnia,2251,0
23,2022-11-06 23:52:30+00:00,@REMASCULATE @elonmusk @jack Jack Dorsey? Never heard of her….,galilee4161,,0,1
24,2022-11-06 23:51:35+00:00,@chipfranklin You have to be kidding. Where were you when Jack Dorsey’s sycophants were trampling all over it?,georgewyounggm1,Northeast,0,0
25,2022-11-06 23:51:19+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",DonnyCaver,"Baltimore, MD",2251,0
26,2022-11-06 23:50:09+00:00,"But... ""Twitter means a short inconsequential burst of information, chirps from birds"" https://t.co/mwCSOsQ5B3 https://t.co/APuSADDwTF",ldobartra,A Pale Blue Dot,1,69
27,2022-11-06 23:49:32+00:00,@bennyjohnson @kathygriffin @elonmusk I love how triggered these libs are. They had no problems when Jack Dorsey and his purple haired sheep did that to anyone they wanted to do it to if they said something that didn’t fit their narrative,MckeeShawn,"Savannah, GA",0,0
28,2022-11-06 23:49:06+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",BLKOUT79,,2251,0
29,2022-11-06 23:48:40+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",wise_diva,In the sky,2251,0
30,2022-11-06 23:48:17+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",BikoDjango,,2251,0
31,2022-11-06 23:48:12+00:00,"RT @adamross: @CheriJacobus @woodsygay @jack Dorsey is agreeing with Musk's layoffs, not apologizing for Musk owning Twitter. Dorsey is ""ap…",ppeters,,27,0
32,2022-11-06 23:48:10+00:00,"RT @RT_com: .@jack Dorsey has claimed responsibility for mass layoffs at Twitter in the aftermath of Elon Musk’s takeover

https://t.co/MTR…",RealJonWick,,32,0
33,2022-11-06 23:47:53+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",_malaikanicole,I only care about black women ,2251,0
34,2022-11-06 23:47:35+00:00,@DineshDSouza The employees that lost they're job are the ones that were the reason Twitter was losing money.  Elon got rid of them to make the company profitable. Even Jack Dorsey admitted that he grew the company to fast and its why they were losing money for years,hoser4517,,0,0
35,2022-11-06 23:47:28+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",SuZi_513,Marz 🛸👽,2251,0
36,2022-11-06 23:47:12+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",norightairpod,⚜️,2251,0
37,2022-11-06 23:46:24+00:00,"RT @RT_com: .@jack Dorsey has claimed responsibility for mass layoffs at Twitter in the aftermath of Elon Musk’s takeover

https://t.co/MTR…",iamSegopi,,32,0
38,2022-11-06 23:46:05+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",arielxleira,DMV ,2251,0
39,2022-11-06 23:46:00+00:00,RT @ProudUSANJNY: @itsJeffTiedrich Another liberal lie. You obviously never ran a business. https://t.co/Ejz79wNpxy,ProudUSANJNY,,1,0
40,2022-11-06 23:45:54+00:00,"@jack How much of your $268 m did you give to the people you claim to love but our unemployed now?
They were the ones that built the company into what it was, not you, they kept it running 24/7
https://t.co/kTNxv9FJO4",FlamingTornado1,"Austin, TX",2,5
41,2022-11-06 23:45:48+00:00,"@jack Jack Dorsey, your censor squad messed up. As head you should have had your ear to the ground!",Ubrales,Chicago area,0,0
42,2022-11-06 23:44:48+00:00,@itsJeffTiedrich Another liberal lie. You obviously never ran a business. https://t.co/Ejz79wNpxy,ProudUSANJNY,,1,0
43,2022-11-06 23:44:35+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",pearledJernts,"Detroit, MI",2251,0
44,2022-11-06 23:44:19+00:00,Jack Dorsey tweets apology and takes responsibility for mass layoffs at Twitter under Elon Musk https://t.co/SdtMuVKnIh via @YahooNews,girlintheknow03,"Cedar Rapids, IA",0,0
45,2022-11-06 23:43:39+00:00,@Tigerfan6317 @SkinnyBatman6 @whatnow1984 @bennyjohnson @kathygriffin @elonmusk Trump wasn’t impersonating Jack Dorsey,Fredinyahead,,0,5
46,2022-11-06 23:43:37+00:00,"Jack Dorsey and others propose a legal defense fund for Bitcoin developers, citing ""multi-front litigation"" and ""threats"" #Bitcoin",Chefnivv91,"Santiago, Chile",0,0
47,2022-11-06 23:43:34+00:00,@SFaymonville @justinjoboyle @elonmusk Please stop doing this. You know damn well if Jack Dorsey or the last CEO of Twitter came out with a statement like this the right-wing and all you people would be losing your minds for the next week. Stop idolizing Elon for his trans memes and shitposting about Dems.,TheTylerWest,,0,0
48,2022-11-06 23:42:58+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",Mellumjr,Jamaica,2251,0
49,2022-11-06 23:42:22+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",angelsscream,"Chicago, IL",2251,0
50,2022-11-06 23:42:21+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",Jstayskickinit,The Akhira (Boston),2251,0
51,2022-11-06 23:41:46+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",crystaaa1,"St Louis, MO",2251,0
52,2022-11-06 23:41:34+00:00,"The thing Emu Husk doesn't understand is that, unlike Jack Dorsey who was pretty much a blank canvas, we already know all too much about Emu Husk. Which is that he's predominantly, um, a blank canvas.",WhenIsBirths,"Swansea, Wales",0,8
53,2022-11-06 23:41:33+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",jenfrytalks,"Baltimore, MD",2251,0
54,2022-11-06 23:41:28+00:00,"RT @RT_com: .@jack Dorsey has claimed responsibility for mass layoffs at Twitter in the aftermath of Elon Musk’s takeover

https://t.co/MTR…",RashadDHawkins,☀♌🌑♒⬆♎,32,0
55,2022-11-06 23:40:40+00:00,"@Andrewj89boyce @DrLU6702 @Chiefkieef1 @MattVerderame Now you’re just trolling me. If you believe Veach is the reason that Dorsey and Reid traded up to 10 - I’m done replying.

You also know Veach has done Jack to help this roster. Brandon Beane has run circles around Veach",dobytrades,,0,1
56,2022-11-06 23:40:19+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",BookishBrown,The Lieberry,2251,0
57,2022-11-06 23:39:50+00:00,"RT @CBSMornings: Jack Dorsey apologizes to Twitter employees after thousands laid off: ""I grew the company size too quickly"" https://t.co/a…",bobbiekingsbury,Tampa FL,6,0
58,2022-11-06 23:39:42+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",candidlymargi,màrģärętłánđ,2251,0
59,2022-11-06 23:39:15+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",smoochitworse,"12th & Hyde, on a Sunday",2251,0
60,2022-11-06 23:38:53+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",BlueTheDogDad,Thabomafisa@gmail.com,2251,0
61,2022-11-06 23:38:42+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",RasBenjiMassop1,,2251,0
62,2022-11-06 23:38:35+00:00,"@elonmusk It sucks because of SIM Swap:

Hackers Hit Twitter C.E.O. Jack Dorsey in a ‘SIM Swap.’ You’re at Risk, Too.
https://t.co/riqpRvSqZN",SttyK,,0,3
63,2022-11-06 23:38:12+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",GratefultoJesus,,2251,0
64,2022-11-06 23:37:21+00:00,"RT @hobbsisme: Trent Reznor

Jack                 🤝             Johnny
Dorsey                               Cash

         You can have it…",spooloflies,New York City,4,0
65,2022-11-06 23:37:19+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",darius_roberti,日本 福岡,2251,0
66,2022-11-06 23:37:11+00:00,"Anyone looking for a glimpse of genius from Silicon Valley's best and brightest won't find it in their text messages to Elon Musk, @cwarzel writes. https://t.co/ZMVCe69MiV",josephwilsonca,Toronto,0,0
67,2022-11-06 23:37:07+00:00,"RT @EricAngelo_MS: I’m still mad Jay-Z was convincing Black folks to switch to Tidal, then sold his majority stake to Jack Dorsey. Now we g…",iampapiortiz,"East Harlem, Manhattan",2251,0
68,2022-11-06 23:36:39+00:00,"RT @clearing_fog: @jack Dorsey is finally admitting that he helped Elon do this. Intentionally.

Anyone who thinks his Bluesky “social prot…",IgorLetLoose,Usually someplace loud & messy,336,0
